CPU 3 is empty
cpus=4
             ssh-24203 [002] 76740.090010: funcgraph_entry:        0.383 us   |                            __accumulate_pelt_segments();
             ssh-24203 [002] 76740.090011: funcgraph_exit:         1.272 us   |                          }
             ssh-24203 [002] 76740.090011: funcgraph_entry:                   |                          update_cfs_group() {
             ssh-24203 [002] 76740.090012: funcgraph_entry:        0.432 us   |                            reweight_entity();
             ssh-24203 [002] 76740.090013: funcgraph_exit:         1.421 us   |                          }
             ssh-24203 [002] 76740.090013: funcgraph_entry:        0.424 us   |                          account_entity_enqueue();
             ssh-24203 [002] 76740.090014: funcgraph_entry:        0.428 us   |                          place_entity();
             ssh-24203 [002] 76740.090015: funcgraph_entry:        0.429 us   |                          __enqueue_entity();
             ssh-24203 [002] 76740.090015: funcgraph_exit:         8.941 us   |                        }
             ssh-24203 [002] 76740.090016: funcgraph_entry:                   |                        hrtick_update() {
             ssh-24203 [001] 76740.104102: funcgraph_exit:       + 10.246 us  |                    }
             ssh-24203 [001] 76740.104103: funcgraph_entry:                   |                    ttwu_do_wakeup.isra.4() {
             ssh-24203 [001] 76740.104103: funcgraph_entry:                   |                      check_preempt_curr() {
             ssh-24203 [001] 76740.104103: funcgraph_entry:        0.177 us   |                        resched_curr();
             ssh-24203 [001] 76740.104103: funcgraph_exit:         0.551 us   |                      }
             ssh-24203 [001] 76740.104104: funcgraph_exit:         1.191 us   |                    }
             ssh-24203 [001] 76740.104104: funcgraph_exit:       + 12.108 us  |                  }
             ssh-24203 [001] 76740.104104: funcgraph_entry:                   |                  _raw_spin_unlock() {
             ssh-24203 [001] 76740.104104: funcgraph_entry:        0.157 us   |                    preempt_count_sub();
             ssh-24203 [001] 76740.104105: funcgraph_exit:         0.446 us   |                  }
             ssh-24203 [001] 76740.104105: funcgraph_entry:        0.147 us   |                  ttwu_stat();
             ssh-24203 [001] 76740.104105: funcgraph_entry:                   |                  _raw_spin_unlock_irqrestore() {
             ssh-24203 [001] 76740.104105: funcgraph_entry:        0.147 us   |                    preempt_count_sub();
             ssh-24203 [001] 76740.104105: funcgraph_exit:         0.434 us   |                  }
             ssh-24203 [001] 76740.104106: funcgraph_exit:       + 19.122 us  |                }
             ssh-24203 [001] 76740.104106: funcgraph_exit:       + 19.433 us  |              }
             ssh-24203 [001] 76740.104106: funcgraph_exit:       + 19.810 us  |            }
             ssh-24203 [001] 76740.104106: funcgraph_entry:                   |            autoremove_wake_function() {
             ssh-24203 [001] 76740.104106: funcgraph_entry:                   |              default_wake_function() {
             ssh-24203 [001] 76740.104106: funcgraph_entry:                   |                try_to_wake_up() {
             ssh-24203 [001] 76740.104107: funcgraph_entry:                   |                  _raw_spin_lock_irqsave() {
             ssh-24203 [001] 76740.104107: funcgraph_entry:        0.154 us   |                    preempt_count_add();
             ssh-24203 [001] 76740.104107: funcgraph_exit:         0.587 us   |                  }
             ssh-24203 [001] 76740.104107: funcgraph_entry:                   |                  select_task_rq_fair() {
